date,infl,realgdp,unemp
1959-03-31,0.0,2710.349,5.8
1959-06-30,2.34,2778.801,5.1
1959-09-30,2.74,2775.488,5.3
1959-12-31,0.27,2785.204,5.6
1960-03-31,2.31,2847.699,5.2
1960-06-30,0.14,2834.39,5.2
1960-09-30,2.7,2839.022,5.6
1960-12-31,1.21,2802.616,6.3
1961-03-31,-0.4,2819.264,6.8
1961-06-30,1.47,2872.005,7.0
1961-09-30,0.8,2918.4190000000003,6.8
1961-12-31,0.8,2977.83,6.2
1962-03-31,2.26,3031.241,5.6
1962-06-30,0.13,3064.7090000000003,5.5
1962-09-30,2.11,3093.047,5.6
1962-12-31,0.79,3100.563,5.5
1963-03-31,0.53,3141.087,5.8
1963-06-30,2.75,3180.447,5.7
1963-09-30,0.78,3240.3320000000003,5.5
1963-12-31,2.46,3264.967,5.6
1964-03-31,0.13,3338.246,5.5
1964-06-30,0.9,3376.587,5.2
1964-09-30,1.29,3422.469,5.0
1964-12-31,2.05,3431.9570000000003,5.0
1965-03-31,1.28,3516.251,4.9
1965-06-30,2.54,3563.96,4.7
1965-09-30,0.89,3636.285,4.4
1965-12-31,2.9,3724.014,4.1
1966-03-31,4.99,3815.423,3.9
1966-06-30,2.1,3828.124,3.8
1966-09-30,4.9,3853.301,3.8
1966-12-31,0.61,3884.52,3.7
1967-03-31,2.42,3918.74,3.8
1967-06-30,3.61,3919.556,3.8
1967-09-30,3.58,3950.826,3.8
1967-12-31,4.72,3980.97,3.9
1968-03-31,3.5,4063.013,3.7
1968-06-30,5.77,4131.998,3.5
1968-09-30,4.56,4160.267,3.5
1968-12-31,4.51,4178.293,3.4
1969-03-31,6.67,4244.1,3.4
1969-06-30,5.47,4256.46,3.4
1969-09-30,5.4,4283.378,3.6
1969-12-31,6.38,4263.261,3.6
1970-03-31,6.28,4256.573,4.2
1970-06-30,4.13,4264.289000000001,4.8
1970-09-30,5.11,4302.259,5.2
1970-12-31,5.04,4256.637,5.8
1971-03-31,2.0,4374.016,5.9
1971-06-30,4.96,4398.829000000001,5.9
1971-09-30,2.94,4433.943,6.0
1971-12-31,2.92,4446.264,6.0
1972-03-31,2.9,4525.769,5.8
1972-06-30,2.88,4633.101,5.7
1972-09-30,3.81,4677.503,5.6
1972-12-31,4.71,4754.545999999999,5.3
1973-03-31,9.26,4876.166,5.0
1973-06-30,4.55,4932.571,4.9
1973-09-30,12.47,4906.252,4.8
1973-12-31,10.39,4953.05,4.8
1974-03-31,10.96,4909.617,5.1
1974-06-30,9.86,4922.188,5.2
1974-09-30,13.56,4873.52,5.6
1974-12-31,10.07,4854.34,6.6
1975-03-31,5.32,4795.295,8.2
1975-06-30,7.48,4831.942,8.9
1975-09-30,6.61,4913.328,8.5
1975-12-31,6.5,4977.511,8.3
1976-03-31,2.14,5090.663,7.7
1976-06-30,6.37,5128.947,7.6
1976-09-30,6.27,5154.072,7.7
1976-12-31,5.49,5191.499,7.8
1977-03-31,8.76,5251.762,7.5
1977-06-30,5.3,5356.130999999999,7.1
1977-09-30,5.23,5451.920999999999,6.9
1977-12-31,7.08,5450.793000000001,6.6
1978-03-31,7.58,5469.405,6.3
1978-06-30,9.89,5684.569,6.0
1978-09-30,9.65,5740.3,6.0
1978-12-31,8.26,5816.222,5.9
1979-03-31,12.08,5825.9490000000005,5.9
1979-06-30,13.37,5831.418000000001,5.7
1979-09-30,11.88,5873.335,5.9
1979-12-31,14.62,5889.495,5.9
1980-03-31,14.6,5908.467,6.3
1980-06-30,8.32,5787.3730000000005,7.3
1980-09-30,10.04,5776.616999999999,7.7
1980-12-31,11.64,5883.46,7.4
1981-03-31,8.62,6005.717,7.4
1981-06-30,10.63,5957.795,7.4
1981-09-30,8.22,6030.184,7.4
1981-12-31,4.26,5955.062,8.2
1982-03-31,2.53,5857.3330000000005,8.8
1982-06-30,10.39,5889.0740000000005,9.4
1982-09-30,2.45,5866.37,9.9
1982-12-31,-0.82,5871.001,10.7
1983-03-31,3.66,5944.02,10.4
1983-06-30,4.03,6077.619000000001,10.1
1983-09-30,3.99,6197.468000000001,9.4
1983-12-31,5.13,6325.5740000000005,8.5
1984-03-31,4.67,6448.264,7.9
1984-06-30,3.09,6559.594,7.5
1984-09-30,3.82,6623.343000000001,7.4
1984-12-31,2.28,6677.264,7.3
1985-03-31,4.89,6740.275,7.3
1985-06-30,2.61,6797.344,7.3
