category_code,model_name,regist_country,create_dt_utc,device_id,event_type,mon_data,State,Remain_Time_H,Remain_Time_M,Initial_Time_H,Initial_Time_M,APCourse,Error,SoilLevel,SpinSpeed,WaterTemp,RinseCount,DryLevel,Reserve_Time_H,Reserve_Time_M,FreshCare,ChildLock,Steam,RemoteStart,TurboShot,InitialBit,PreState,SmartCourse,TCLCount,OPCourse,LoadLevel
201,LG_WM_KR,KR,16/11/2017 0:22,A1,WM_STATE,KAALARsBAAADAAAAAAAABAABqB4/AhUB,40,0,11,1,27,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,30,63,2,21,1
201,LG_WM_KR,KR,16/11/2017 0:32,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABuSg/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 0:32,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABuSg/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 2:48,A1,COMMON_WIFI_ON,HgALAAsBAAAAAAEAAAAABAAAADw/AxUF,30,0,11,0,11,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,60,63,3,21,5
201,LG_WM_KR,KR,16/11/2017 2:57,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAAAEB4/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 2:57,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAAAEB4/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 2:58,A1,WM_WASH_BEGIN,KAA5ADkBAAAEAAAHAAAAAAAAEDw/AxUF,40,0,57,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,60,63,3,21,5
201,LG_WM_KR,KR,16/11/2017 2:58,A1,WM_STATE,KAA5ADkBAAAEAAAHAAAAAAAAEDw/AxUF,40,0,57,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,60,63,3,21,5
201,LG_WM_KR,KR,16/11/2017 3:26,A1,WM_STATE,MgAeADkBAAAAAAAHAAAABAAA5ig/AxUF,50,0,30,0,57,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,63,3,21,5
201,LG_WM_KR,KR,16/11/2017 3:57,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAADgTI/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 3:57,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAADgTI/AxUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 11:14,A1,COMMON_WIFI_ON,FAEFAQUBAAIEAgMAAAAAhAAAAAY/AxUA,20,1,5,1,5,1,0,2,4,2,3,0,0,0,0,0,0,0,0,0,6,63,3,21,0
201,LG_WM_KR,KR,16/11/2017 11:15,A1,WM_STATE,FwEIAQgBAAIEAgMAAAAAhAAAABQ/AxUB,23,1,8,1,8,1,0,2,4,2,3,0,0,0,0,0,0,0,0,0,20,63,3,21,1
201,LG_WM_KR,KR,16/11/2017 11:30,A1,WM_STATE,HgAxAQgBAAAEAAMAAAAAhAABRhc/AxUB,30,0,49,1,8,1,0,0,4,0,3,0,0,0,0,0,0,0,0,0,23,63,3,21,1
201,LG_WM_KR,KR,16/11/2017 12:08,A1,WM_STATE,KAALAQgBAAAEAAAAAAAAhAABgx4/AxUB,40,0,11,1,8,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,3,21,1
201,LG_WM_KR,KR,16/11/2017 12:18,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABmCg/BBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,4,21,0
201,LG_WM_KR,KR,16/11/2017 12:18,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABmCg/BBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,4,21,0
201,LG_WM_KR,KR,16/11/2017 12:21,A1,COMMON_WIFI_ON,KAA5ADkBAAAEAAAHAAAABAAAADw/BBUF,40,0,57,0,57,1,0,0,4,0,0,7,0,0,0,0,0,0,0,0,60,63,4,21,5
201,LG_WM_KR,KR,16/11/2017 12:50,A1,WM_STATE,MgAeADkBAAAAAAAHAAAABAAA7Sg/BBUF,50,0,30,0,57,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,40,63,4,21,5
201,LG_WM_KR,KR,16/11/2017 13:21,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAADmTI/BBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,4,21,0
201,LG_WM_KR,KR,16/11/2017 13:21,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAADmTI/BBUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,63,4,21,0
201,LG_WM_KR,KR,18/11/2017 12:18,A1,WM_STATE,FAEPAQ8BAAEEAgQAAAAAgAAAADw/BBUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,60,63,4,21,0
201,LG_WM_KR,KR,18/11/2017 12:18,A1,COMMON_WIFI_ON,FAEPAQ8BAAEEAgQAAAAAhAAAADw/BBUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,60,63,4,21,0
201,LG_WM_KR,KR,18/11/2017 12:19,A1,WM_STATE,FwESARIBAAEEAgQAAAAAhAAAABQ/BBUB,23,1,18,1,18,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,20,63,4,21,1
201,LG_WM_KR,KR,18/11/2017 12:34,A1,WM_STATE,HgA7ARIBAAAEAAQAAAAAhAABHhc/BBUB,30,0,59,1,18,1,0,0,4,0,4,0,0,0,0,0,0,0,0,0,23,63,4,21,1
201,LG_WM_KR,KR,18/11/2017 13:20,A1,WM_STATE,KAALARIBAAAEAAAAAAAAhAABZR4/BBUB,40,0,11,1,18,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,30,63,4,21,1
201,LG_WM_KR,KR,18/11/2017 13:30,A1,WM_STATE,PAAAAAAAAAAAAAAAAAAABAABeig/BRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 13:30,A1,WM_WASH_END,PAAAAAAAAAAAAAAAAAAABAABeig/BRUA,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,COMMON_WIFI_ON,BQEPAQ8BAAEEAwQAAAAAAAAAADw/BRUA,5,1,15,1,15,1,0,1,4,3,4,0,0,0,0,0,0,0,0,0,60,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,WM_WASH_BEGIN,FAEPAQ8BAAEEAgQAAAAAgAAAAAU/BRUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,5,63,5,21,0
201,LG_WM_KR,KR,18/11/2017 21:09,A1,WM_STATE,FAEPAQ8BAAEEAgQAAAAAgAAAAAU/BRUA,20,1,15,1,15,1,0,1,4,2,4,0,0,0,0,0,0,0,0,0,5,63,5,21,0
