id,lclas,mlsfc,fclt_name,ctprvn_nm,sgnr_nm,legaldong_cd,legalemd_nm,adstrd_cd,adstrd_nm,rdnmaddr_cd,rdnm_addr,zip_cd,grid_cd,x_cd,y_cd,buld_totar,usemem_nm,infl_factor,file_name,base_ymd
KCCSBIZ21N000000001,문화시설,공공도서관,서울특별시교육청강남도서관,서울특별시,강남구,1168010500,삼성동,1168059000,삼성2동,116803122006,서울특별시 강남구 선릉로116길 45,6093,다사599461,37.5136843,127.0468388,1631,536553,0.0030397742627475757,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000002,문화시설,공공도서관,서울특별시교육청개포도서관,서울특별시,강남구,1168010300,개포동,1168067000,개포2동,116803122006,서울특별시 강남구 선릉로4길 30,6327,다사614427,37.4830794,127.063867,2377,917565,0.002590552167966302,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000003,문화시설,공공도서관,서울특별시교육청강동도서관,서울특별시,강동구,1174010500,길동,1174068500,길동,117404172235,서울특별시 강동구 양재대로116길 57,5344,다사685488,37.538083,127.1435009,3082,949202,0.0032469379541973154,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000004,문화시설,공공도서관,서울특별시교육청고덕평생학습관,서울특별시,강동구,1174010200,고덕동,1174056000,고덕2동,117403124001,서울특별시 강동구 고덕로 295,5225,다사697508,37.5561204,127.1580394,3854,942287,0.0040900489978106455,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000005,문화시설,공공도서관,서울특별시교육청강서도서관,서울특별시,강서구,1150010200,등촌동,1150053000,등촌2동,115004145312,서울특별시 강서구 등촌로51나길 29,7669,다사434500,37.547903,126.8599277,4024,959438,0.0041941219755732,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000006,문화시설,공공도서관,서울특별시교육청고척도서관,서울특별시,구로구,1153010600,고척동,1153073000,고척2동,115304148171,서울특별시 구로구 고척로45길 31,8239,다사428453,37.5053474,126.8530522,5438,1186981,0.004581370721182563,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000007,문화시설,공공도서관,서울특별시교육청구로도서관,서울특별시,구로구,1153010200,구로동,1153056000,구로5동,115303116004,서울특별시 구로구 공원로 15,8298,다사462445,37.4986572,126.8915437,2538,911082,0.002785698762570219,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000008,문화시설,공공도서관,서울특별시교육청노원평생학습관,서울특별시,노원구,1135010600,중계동,1135062500,중계2.3동,113504130199,서울특별시 노원구 동일로204길 13,1783,다사618600,37.6395139,127.0678213,4223,1440026,0.002932585939420538,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000009,문화시설,공공도서관,서울특별시교육청도봉도서관,서울특별시,도봉구,1132010500,쌍문동,1132066000,쌍문1동,113203005041,서울특별시 도봉구 삼양로 556,1368,다사570615,37.6525475,127.0127722,2743,739479,0.003709368352583373,KC_596_CLT_STATN_BIZAEA_2021,20200101
KCCSBIZ21N000000010,문화시설,공공도서관,서울특별시교육청동대문도서관,서울특별시,동대문구,1123010100,신설동,1123053600,용신동,112304115545,서울특별시 동대문구 천호대로4길 22,2586,다사579528,37.5738566,127.0241852,4352,719971,0.006044687911040862,KC_596_CLT_STATN_BIZAEA_2021,20200101
